学科名称,问题,答案
Python学科,通过apt仓库 安装最新版mysql,"1. 添加 mysql apt 仓库

   1）执行：sudo dpkg -i mysql-apt-config_w.x.y-z_all.deb
   
   deb包下载地址：https://dev.mysql.com/downloads/repo/apt/
   
	2）执行：sudo apt-get update
	
2. 安装

	sudo apt-get install mysql-server
	
	
下面是 删除的方法：

sudo apt-get remove mysql-server
sudo apt-get autoremove

dpkg -l | grep mysql | grep ii    查看是否还有 残余包没有卸载
sudo apt-get remove package-name  卸载残余包"
Python学科,pip ：cannot import name 'main',"解决办法1：
换一种执行pip的方法：python3 -m pip3 install pygame


解决办法2：
降低 pip的版本
python -m pip uninstall pip   
python -m pip install pip==9.0.3"
Python学科,pip 使用 豆瓣源 安装 python包,例如：pip3 install pygame -i http://pypi.douban.com/simple/  --trusted-host=pypi.douban.com
Python学科,高版本 jquery 入口函数 报错,"{""answerText"":""6aa39167-a6cb-4bb2-918e-50383d03bf7b"",""answerType"":""NEWS""}"
Python学科,win10 可以 ping同 乌班图虚拟机，反过来不行,关闭 杀毒软件，和 win10 系统自带的 防火墙
Python学科,mac电脑 打不开乌班图 虚拟机,"VMware虚拟机打不开/dev/vmmon无此文件或目录


解决：

sudo spctl --master-disable  添加任何来源

选择“系统偏好设置” 
打开后，选择“安全性与隐私”
在“通用”里面，可以看到最下面：有来自开发者“VMware，Inc.”的系统软件已被阻止载入。点击旁边的“允许”
"
Python学科,vscode编辑器 相对路径 问题,这个编辑器 比较别扭 ./ 指的是 相对于 工作区顶层文件夹，而不是 相对于文件当前目录
Python学科,html 中如何解决 嵌套盒子 垂直外边距合并问题,父盒子 加上 样式：overflow: hidden;
Python学科,pip10 工具bug," 如果使用pip 出现这个错误：ImportError: cannot import name 'main'

解决办法1：
换一种执行pip的方法：python3 -m pip3 install pygame


解决办法2：
降低 pip的版本
python -m pip uninstall pip   
python -m pip install pip==9.0.3
"
Python学科,python3 自带 的虚拟环境使用,"win10下：

创建虚拟环境：
python -m venv 虚拟环境名字



激活虚拟环境：
虚拟环境目录\Scripts\activate.bat

乌班图下: source xx/虚拟环境目录/bin/activate



退出虚拟环境：
虚拟环境目录\Scripts\deactivate.bat
"
Python学科,js中 dom元素的 offsetHeight 属性,如果子元素 不脱离文档流，这个属性的值 就是 盒子最终的高度值，包含 padding和 border
Python学科,jinja2.exceptions.undefinederr,"在setting 补充jinja2模版引擎环境
‘environment’:'meiduo_mall.utils.jinja2_env.jinja2_enviroment'"
Python学科,pycharm运行app，启动找不到app,"edit_configurations 编辑manager ,在parameters 中添加runserver"
Python学科,python manager.py db init 运行程序,将程序app.run()  改成manager.run()
Python学科,mac如何显示隐藏文件呀？,按command + shift + . 进行隐藏与非隐藏
Python学科,live-server 运行失败  = async path,"需更新node版本
可参考博客步骤更新https://blog.csdn.net/zkpython/article/details/100878504"
Python学科,docler pull elasticsearch 失败,docker image pull delron/elasticsearch-ik:2.4.6-1.0 指定版本pull 成功
Python学科,push rejected,"git pull
git pull origin master
git pull origin master --allow-unrelated-histories
依次执行命令解决"
Python学科,js 中因es5爆红,在左上角file --setting里打开，languages$frameworks 中的javascript选中ECMAScript6
Python学科,"远程链接云服务器中mysql,redis,docker等链接",需在云服务器中开放对应端口安全组
Python学科,vue : cannot find element #app,先检查 html里面 div 是否绑定app，如已绑定，检查将导入 regiser.js script语句放在html最后
Python学科,expected an indented block 缩进错,"1. 第一种 python中的代码块控制，主要是靠缩进保证的，遇到这个问题
这个问题一般都是代码块缩进不正确导致，请求观察错误提示的位置，以及上下位置应该是有一个缩进出现了问题
2. 第二种可能出现这个问题的原因是，缩进中混合了tab键与空字符，导致混用，也会出现这个问题，所以对于python程序员来说 空格代替缩进更好一些
"
Python学科,前端引用了jquery 报$ undefined的错误,$主要是jquery中定义的，遇到未定义的错误的时候，正常是疑问juquery没有加载成功，可以检查下jquery的路径是否有问题导致的jquery没有加载成功！
Python学科,linux系统中使用pip安装python模块包提示没有权限,出现这样的问题的时候，一般是在系统环境中安装东西的时候可能会出现，可以使用sudo pip install xxx 这样解决权限不足的问题
Python学科,用weget apt 等安装出现https 40x错误的情况,"1. 这个情况一般都是网路出现问题
2. 检查本机网络是否正常（ping www.baidu.com看看是否网络ok，或者你打开浏览器访问百度是否可以打开）
3.  如果正常可以考虑是网络不稳定，可以重新尝试再次下载
4. 如果依然不能成功，考虑下下载的网址是否有问题，可以浏览器访问下
5. 还要可能是自己网络问题【可以切换个手机热点试下】"
Python学科,(admin.E403) A 'django.......,出现此问题，通常是使用了django2 版本之上，建议使用django 完成此项目，此问题解决 django2 版本之前，如果使用jinja2 配置中必须保留 原本django  DjangoTemplate 配置
Python学科,StrictredisCluster 包导入不成功,"出现此问题，为redis 与 redis-py-cluster 版本不兼容问题
请尝试降低 redis 版本 为2.10.6，  redis-py-cluster 1.3.5试下，或尝试其他降低版本"
Python学科,TypeError: 'ConfiguredStorage',检查utils 文件中 jinja2_env 中是否为 staticfiles_storage.url
Python学科,centos下面安装开发相关的工具环境,"# 直接使用yum安装工具集【例如编译相关的工具】
sudo yum update
sudo yum groupinstall ""Development Tools"""
Python学科,远程传输工具安装,"# ubuntu
sudo apt install lrzsz
# cetos
sudo yum install lrzsz

sz  下载的文件
rz 上传的文件
"
Python学科,Ubuntu配置MySQL8.0 允许远程访问,参考链接: https://www.jianshu.com/p/852915e5a62b
Python学科,js 中 箭头函数 需要注意哪些问题,"        （1）函数体内的this对象，就是定义时所在的对象，而不是使用时所在的对象。

        （2）不可以当作构造函数，也就是说，不可以使用new命令，否则会抛出一个错误。

        （3）不可以使用arguments对象，该对象在函数体内不存在。如果要用，可以用 rest 参数代替。

        （4）不可以使用yield命令，因此箭头函数不能用作 Generator 函数。"
Python学科,npm 使用淘宝下载源,"执行这行命令，以后你的 npm 就会从淘宝镜像下载包了，速度会比原来快很多
npm config set -g registry https://registry.npm.taobao.org"
Python学科,live-server 服务器 配置 允许任意 ip 访问,参考链接:  https://www.jianshu.com/p/7cf79b0883ec
Python学科,django配置 允许跨域请求,参考链接: https://www.jianshu.com/p/af80c99dc976
Python学科,python3 内建函数有哪些,参考链接: https://www.jianshu.com/p/8bf11a2ed489
Python学科,mac 系统下 安装了mysql，配置任意目录 访问,参考链接:https://www.jianshu.com/p/1420285866a8
Python学科,远程连接mysql 不成功,"在mysql 所在系统 
登录mysql：mysql -uroot -p 
使用mysql数据库：use mysql; 
查询user host 是否是%：select user,host from  user; 
若不是修改为：update user set host='%' where user='root',"
Python学科,anaconda 在wiindows上面出现各种问题,"anaconda 在windows上面会出现各种各样的问题，建议同学
卸载anaconda ，并删除安装目录使用系统python环境，然后需要什么包安装什么包即可！"
Python学科,ubuntu pip 安装包 timeout ,"创建文件
mkdir ~/.pip
sudo gedit ~/.pip/pip.conf
编辑文件
[global]
index-url = https://pypi.tuna.tsinghua.edu.cn/simple
[install]
trusted-host=mirrors.aliyun.com"
Python学科,python虚拟环境的目的,"最根本原因是解决包的版本依赖问题
公司中可能存在多个项目，而且项目开发的时间又不尽相同，那么每个项目都是用了不同的python版本与各种第三方模块包，这时候我们系统中同样需要有多个版本的python环境，否则项目根本运行不起来，所以后面出现虚拟环境，这个虚拟环境都是独立的一个环境，这样我们可以为每个项目单独简历一个虚拟环境，保证项目各自使用自己的环境，从而解决版本冲突依赖问题"
Python学科,出现包安装，导入失败的问题,我们明明已经把包安装了，但是在pycharm中导入却提示失败没有此模块，出现这中问题，基本都是，我们安装模块的环境与pycharm配置的python环境不一致导致的，例如我们安装的模块在python2 环境中，pycharm使用了python3的环境！ 切换到我们与pycharm一致的环境再次安装模块就ok了
Python学科,创建虚拟环境出现OSError: Command错误,"出现这个错误的原因很大的可能是pip版本过低以及setuptools工具包版本太低导致

# 升级pip 到最新版本
pip install -U pip
# 升级setuptools 到最新版本
pip install -U setuptools 

 升级这2个包后重新创建虚拟环境基本就ok了"
Python学科,mysql不支持bool类型,"如果当把一个数据设置成bool类型的时候，
数据库会自动转换成tinyint(1)的数据类型,其实这个就是变相的bool。 默认值也就是1,0两种,分别对应了bool的true和false"
Python学科,列表推导式单条件判断与2个条件判断使用,"#1. 单条件判断,注意条件是循环后,仅保留满足条件的
[i for i in range(10) if i%2==0]  ---->[0, 2, 4, 6, 8]

#2个条件判断，注意判断在循环之前,利用python的三目运算,这样可以安装我的方式对数进行处理
[i if i%2==0 else str(i) for i in range(10)]---->[0, '1', 2, '3', 4, '5', 6, '7', 8, '9']

#3 其他情况基本都是在这个基础上变化得到的


"
Python学科,django中使用celery出现不能发现任务的问题,有的同学经常在配置django的异步celery任务的时候，经常出现发现不了任务，出现这种情况是因为我们celery任务中没有加载djaong的环境，所以导致任务加载不到！ 请同学配置django项目的环境后，再次启动celery 应该可以正常发现任务了
Python学科,打包python程序为可执行程序,有的同学想把自己写的python程序打包成可以执行文件，同学可以使用pyinstaller模块去打包成，建议查询下想要的教程
Python学科,float方法使用,"float 用于转化浮点数, 有2种使用方式
1.   把字符串转化成浮点数 例如： float('3.14')
2. 把整数转化成浮点数,便于后续计算  float(3)"
Python学科,python中类的属性的查找顺序,"python面向对象涉及到继承的时候，属性查找顺序，就不是在单一类中进行查找了，具体查找顺序，按照继承的MRO顺便查找，例如 Sub（A,B） 这样的一个多继承，MRO表【Sub，A，B】，假如我要找一个show方法，首先在sub类中进行查找，如果sub中没有，则向后遍历从A查找，直至查找到这个属性，或者抛出没有属性的异常"
Python学科,vscode配置成 sublime text3 风格 主题,参考博客：https://www.jianshu.com/p/1a126aed93c3
Python学科,python3运算符 += 和 = 之间的区别,参考博客：https://www.jianshu.com/p/cf2e96196906
Python学科,回车和换行符 ,参考博客：https://www.jianshu.com/p/95f556ec2667
Python学科,配置 vscode 字体,参考博客：https://www.jianshu.com/p/117a875f4c8e
Python学科,Vue-devtools 安装成功但无法使用,参考博客：https://www.jianshu.com/p/7d53a3771907
Python学科,python中if表达式中表达真假,"python中下面的常用的几种数据类型在if表达式中表达真假
1. 数字，数字0在if表达式中表示False 其他非0数字都是真
2.  列表，元组，字典等复杂数据接口，空表示False 非空表示True"
Python学科,linux 下面的普通用户与root用户,"普通用户与root用户区别
1. 普通用户与root用户目录权限不同，root权限要大，例如好多情况，普通用户操作都需要sudo权限
2.  用户的主目录不同 普通用户的主目录都是在/home/用户名  这样的目录作为主目录，而root用户的主目录是 /root 目录
3. root用户权限大，容易出现误操作，慎用root用户"
Python学科,正则中的^符号,"正则中^有两种使用场景，分别表示不同的意思
1.  ^ 用于正则前面表示以什么开头，例如 ^\d 以数字开头
2. ^ 用于[] 集合，表示取反，例如[^\d] 表示匹配非数字的字符"
Python学科,Windows上面修改myslql密码,"windows 最简单的方式使用mysqladmin命令
1. 使用管理员方式打开cmd窗口
2.  执行下面的命令进行密码修改 mysqladmin -u用户名 -p旧密码； password 新密码"
Python学科,concurrent_log_handler 问题,"concurrent_log_handler 在windwos下面使用报错误import win32file ImportError: DLL load failed: 找不到指定的程序 出现这样的错误

解决方法：
到python的安装目录（如果是虚拟环境则到虚拟环境目录）中的\Lib\site-packages\pywin32_system32把这里面的dll文件拷贝到C:\Windows\System32目录中"
Python学科,hmtl的url地址,"假如我们当前的地址： http://127.0.0.1:8000/movie/
假如当前页面中有ajax请求: 地址这样写的   show/all
# 注意最后 地址会被拼接成http://127.0.0.1:8000/movie/show/all

# 假如url地址是: /show/all  与上面唯一的区别是 前面多一个斜杠
 请求地址: http://127.0.0.1:8000/show/all/"
Python学科,面向对象 私有属性,"1. 面向对象的属性分为私有跟公有属性
2. 公有属性可以对方访问使用，可以通过.的方式访问
3. 因为开发需求可能有些属性需要设置成私有的，私有的目的就是不对外暴露，仅仅对象内部使用，这是用属性需要是私有化。
4.  有的情况可能需要对外暴露一个接口，例如： 钱是私有属性，转账是对外暴露的接口，我们可以设置一个规则，接口只让转入不让转出。 所以往往遇到类似的场景我们需要编写对应的接口方法。"
Python学科,ValueError: last_login,"ValueError: The following fields do not exist in this model or are m2m fields: last_login Django
使用自定义模型或者使用django提供的login方法的时候会报这样一个错误，要求用户模型是继承与AbstractUser,否则会报这个错误。当登录的时候会更新这个字段 如果模型中没有这个字段就会报错误"
Python学科,lambda表达式,lambda 表达式是个匿名函数，返回值是个函数，所以我们可以使变量取接收，然后当做函数调用， lambda表达仅仅编写一些简单的表达式，是为了简化我们的一些编写，完全可以用函数定义的方式替换，所以同学们把这个当做一个简化的函数定义即可
Python学科,try 异常传递,异常是有传递特性的，这个是异常的机制，在传递过程，任何一个环节都可以捕获，如果不捕获继续向上传递。 举例说明： main-->fn1-->fn2 假如fn2中出现异常，fn2方法中没有捕获，则向上传递至fn2 的调用者fn1 假如fn1也捕获继续向上传递至main，假如main也不捕获就会异常导致程序终止
Python学科,"pycharm打开导航栏
Ubuntu里pycharm怎么打开导航条","pycharm版本不同可能设置不同：
1. view-->toolbar [老版本] 
2. view-->appearance->toolbar 【新版本】
里面还有其他的工具菜单，根据自己需求设置"
Python学科,"多继承 MRO 父类 属性查找
python中多继承 继承问题","{""answerText"":""92ed2f2a-8472-49a8-8ff2-c4eebd43c2fb"",""answerType"":""NEWS""}"
Python学科,"ubuntu 创建Python虚拟环境 出现错误
ubuntu虚拟机创建虚拟环境一直报错，不知道什么原因","出现的原因可能是 工具包版本太低需要更新
1.  更新pip    pip install -U pip  如果是pip3 这是使用pip3 install
2. 更新setuptools工具 pip install -U setuptools "
Python学科,ubuntu pip 安装包 timeout,"创建文件
mkdir ~/.pip
sudo gedit ~/.pip/pip.conf
编辑文件
[global]
index-url = https://pypi.tuna.tsinghua.edu.cn/simple
[install]
trusted-host=mirrors.aliyun.com"
JAVA学科,IncompleteElementException,"org.apache.ibatis.builder.IncompleteElementException
mybatis找不到对应的result map
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=6db01c27e9264ae39105737cde80a3a4"
JAVA学科,套餐列表图片没有办法正常显示,"套餐列表图片没有办法正常显示
套餐列表页面图片无法显示
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=a3eec45fcce34dfc9f7d17c414841661"
JAVA学科,七牛云图片上传成功 图片不回显,"七牛云图片上传成功 图片不回显
七牛云图片上传成功 图片预览失败 
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=810e5d8ad69747f9809883ea49621aa9"
JAVA学科,interface not allow null!,"interface not allow null dubboadmin中没有提供者
IllegalStateException: interface not allow null!
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=5bb4f2cedf5842189d3df74387b62ddb"
JAVA学科,表单校验语法报错 () => {},"传智健康-html页面表单校验语法报错 () => {}
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=d44adcbb198341aa97d43a27d9bc6279"
JAVA学科,xls或者xlsx文件上传失败,"传智健康上传excel的xls或者xlsx文件上传失败
传智健康上传excel的xls或者xlsx文件上传失败，file.type 没有获取到后缀名，导致无法识别excel文件
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=18a84f76deaa48068ef3efd657a5a9f2"
JAVA学科,NoSuchMethodError,"java.lang.NoSuchMethodError: com.google.gson.JsonObject.keySet()Ljava/util/Set;
启动health_mobile工程时报错：
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=23d0da600d054b12aeee7d26b18fde31"
JAVA学科,体检预约成功后不显示预约信息,"体检预约成功后不显示预约信息
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=9139fe53a0684cb8aef662079ca9b3da"
JAVA学科,FreeMarker生成html之后，中文乱码,"静态页面生成中文乱码
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=1129ebd21d7540f795eeb3753dcd5eed"
JAVA学科,在传智健康的PDF报表生成的时候出现找不到华文宋体,"PDF报表生成的时候出现找不到华文宋体
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=65f72abb33904959b478e6859fbeaad3"
JAVA学科,Timeout 连接zookeeper失败,"1. zookeeper server can not be connected 2. Zookeeper连接失败
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=dec2af85b29b4430a8453a939b55390c"
JAVA学科,日历展示预约信息，样式出不来,"传智健康项目做日历展示预约信息，样式出不来
日历展示预约信息页面效果不对
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=fb6330d89ea34170b6044bb5d7234e9e"
JAVA学科,执行生成静态页面之后，页面报错,"执行生成静态页面之后，页面报错
FTL stack trace (""~"" means nesting-related):Failed at: ${setmeal.img} [in template ""mobile_setmeal_detail.ftl"" at line 29, column 60]
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=6815c6a1f12e4a3ba511e2be6051822d"
JAVA学科,getOrderSettingByMonth,"getOrderSettingByMonth方法返回的数据只有1-7天导致最后前端页面展示不正确 
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=8513c0efeb474c3ca30e1d2ffc042ce3"
JAVA学科,套餐详情页面中检查组和检查项的数据都是空的,"checkGroups数组为空数组
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=bbe24ceba2ed42548e9d008b6a35d8a5"
JAVA学科,Spring-redis.xml文件配置报错,"Spring-redis.xml文件中beans报红
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=a88c48d81f25481a98b8a0934b940265"
JAVA学科,Access is denied 拒绝访问 登陆失败,"AccessDeniedException Access is denied 拒绝访问 登陆失败
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=ba8d608a4b734e81988356dbdff49b1f"
JAVA学科,做分页查询的时候报空指针异常 检查组分页查询空指针,"com.itheima.service.CheckGroupServise, method: pageQuery, exception: java.lang.NullPointerException: null, dubbo version: 2.6.0, current host: 127.0.0.1 java.lang.NullPointerException
做分页查询的时候报空指针异常 检查组分页查询空指针
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=bd88bcddfef2469db41f391d214f0fcf"
JAVA学科,parameterType和resultType区别,"传智健康 mybatis中的parameterType和resultType区别
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=72557fab58b34ef586f09d727611bfd3"
JAVA学科,传智健康体检预约收不到短信验证码,"传智健康体检预约点击发送验证码后收不到短信验证码
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=150a78239fa84dfc93180e112e7c0c10"
JAVA学科,Spring Boot 请求访问URL页面显示404,"访问URL页面显示404
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=1f7bc379e69d4fdf8ccf41192afe0d2d"
JAVA学科,找不到文件: Cento 64位.vmdk,"开启此虚拟机需要用到此文件,如果移动了此文件,请提供它的新位置
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=b13bb4186dcd4cdaa843f365c1303f0c"
JAVA学科,SpringBoot无法使用@Runwith注解,"快速构建SpringBoot项目的测试类无法使用@Runwith注解
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=7bc7fb69cf0b4732a2a5900bfe4752ba"
JAVA学科,Spring Cloud 定义Feign 启动失败,"A bean with that name has already been defined in null and overriding is disabled.
2个Feign接口类内定义了相同的名字，
解决办法如下:
http://112.126.69.168:8080/reception/showReceptionView?id=a2c43a8d413c484ebc9aba4b99689253"
JAVA学科,rabbitmq 路由模式,具体参考下:https://www.cnblogs.com/zousc/p/12739504.html
Python学科,"input标签中的placeholder  与value的区
input中的name属性说明
input标签中的value属性理解
为什么答案不是是placeholder这一个标签","1. input中的placeholder属性 ，主要用于提示用户，这个框中要输入什么类型的信息。
2. input中的value属性，相当于设置了我们的框中的内容
3. 当用户输入数据的时候，value就会变化成了对应的值
4. 至于name属性，主要是配置我们学习的表达提交的时候，把数据组织成 {name""value}，这样的格式提交给服务器。"
Python学科,"python中编码规范网址？
pep8 规范哪里有
老师python的规范的网站多少呢","我们最常用的是pep 8 规范，对应的网址是：https://www.python.org/dev/peps/pep-0008/
当然了除了pep8 规范外还有很多其他规范请看下面的地址：https://www.python.org/dev/peps/ 

建议大家简单了解下即可，不用太深入去学习。因为学习这个与我们的时间产出不成正比。"
Python学科,"python 中 in关键词用法
in 怎么使用
in怎么用？","在python中的in关键词，主要有两种使用场景
1. 用于容器（列表，元组，字典、集合等）类型元素遍历 格式如下： for item in containers：pass
2：用于判断元素是否在某一个容器型的数据结构中 if item in containers： pass   例如： if  1 in [1,2,3]: 执行对应的代码逻辑"
Python学科,flask paginate 怎么使用,"请参考使用文档：https://pythonhosted.org/Flask-paginate/
如果对使用有疑惑可以再问老师。"
JAVA学科,实现购物车加1 减1 会出现数量累加的问题,"当用户手动输入数量失去焦点时，会出现数量累加的问题
解决办法如下: 
http://112.126.69.168:8080/reception/showReceptionView?id=f087d84fe1e4401888394e64ba6b2d2e"
JAVA学科,搜索模块批量导入数据到ES,"搜索模块批量导入数据到ES报错-内存溢出
解决办法如下: 
http://112.126.69.168:8080/reception/showReceptionView?id=f33c4a439d6d4bc2981271de85aa7d34"
JAVA学科,UnsupportedEncodingException,"java.io.UnsupportedEncodingException: UTF - 8
解决办法如下: 
http://112.126.69.168:8080/reception/showReceptionView?id=f38e5d88b9e349dc9ee3421b24726adf"
JAVA学科,consul启动指定错盘符问题,"consul启动时指定盘符不存在错误
解决办法如下: 
http://112.126.69.168:8080/reception/showReceptionView?id=066eebb66b4a47cab3443b600eb55be4"
JAVA学科,consul服务启动报错,"powerShell启动consul报错
解决办法如下: 
http://112.126.69.168:8080/reception/showReceptionView?id=14f5229f1f854e87a9f041e05a09997e"
JAVA学科,充吧项目 连接MySQL的10060错误,"充吧项目 连接MySQL的10060错误:Can't connect to MySQL server on '192.168.200.129'(10060)
解决办法如下: 
http://112.126.69.168:8080/reception/showReceptionView?id=700b0463d11341a8bc3d2e37669cf727"
JAVA学科,Mysql驱动问题,"The server time zone value '???ú±ê×??±??' is unrecognized or represents more than one time zone.
解决办法如下: http://112.126.69.168:8080/reception/showReceptionView?id=aac87a461b364d8382133754a9b6d795"
Python学科,"ssh无法连接远程
ssh终端无法登录","ssh 不能连接远程服务的几个情况：
1. 对方服务器没有安装ssh服务，或者ssh服务没有开启，检查shsh服务
2. 服务器的防火墙拦截导致，检查防火墙设置
3. 对方ssh服务端口不是默认22
4. 如果服务器不是自己的那没办法，如果是自己的可以尝试解决。 
5. ssh服务安装参考链接https://blog.csdn.net/wgc0802402/article/details/91046196
6. 防火墙设置参考链接：https://blog.csdn.net/smileui/article/details/87909393"
JAVA学科,"请问Java基础方面有书籍推荐吗
我学习JAva能够买什么书籍来帮助自己吗",《算法》  《算法导论》 《Java并发编程实战》 《Java性能优化权威指南》 《JVM高级特性与最佳实践》 《Head First 设计模式》 《Spring Cloud微服务实战》 《Spring Boot实战 》 《重构 改善既有代码的设计》 《Agile Java》 《Java Puzzlers》 《UNIX网络编程》
JAVA学科,"微信支付
IDEA旗舰版会员到期使用不了怎么办","微信支付在继承 (extends) WXPayConfig时，idea提示只能实现 implements
解决办法如下: 
http://112.126.69.168:8080/reception/showReceptionView?id=856d8ee2760746f68abed2440c210bfa"
JAVA学科,"根据名称或编码查询,在更新数据时如何清空缓存",先根据key删除数据，在重新添加数据到redis
JAVA学科,"首页广告轮播图图片不展示
畅购导入基础代码依赖出错","畅购项目的首页轮播图不展示 , 页面的图片展示区域是空白的 
解决办法如下: 
http://112.126.69.168:8080/reception/showReceptionView?id=a8d7c87ee52b429fbc4cfc312b71d450"
JAVA学科,自己写构造方法和系统默认给出来哪个好,一般使用系统默认的构造方法，如果有需求的话，可以自定义构造方法
JAVA学科,"git推送失败了
git 推送到远程失败",推送远程失败可能是权限或者分支错误，可以参考一下两个帖子：https://www.cnblogs.com/wf-skylark/p/9315463.html 、https://blog.csdn.net/sgsgy5/article/details/82589730
JAVA学科,#工具没说在哪里下载啊,工具在资料中有，资料下载地址可以找班主任获取
Python学科,"git仓库创建成功之后,克隆的时候出现没有权限,访问被拒绝等","解决方案:如果使用ssh的地址进行克隆很有可能出现访问被拒绝,这是因为没有配置公钥和私钥
    可以使用https的地址进行克隆,就不会出现问题了"
Python学科,"pycharm中解决前端模板语法报红
pycharm如何设置jinja2模板
pycharm如何设置前端模块语言","点击file中点击setting,点击language,点击javascript,点击javascript language varseion,
    点击 Python Template Language, 点击Template language,选择对应的模块语言，例如选择 jinja2"
JAVA学科,"构造方法()里的初始化顺序, 是要按照定义时候的顺序来写吗?",是的.  先写的优先被初始化
JAVA学科,枚举和数组和集合的关系,具体请参考:http://c.biancheng.net/java/110/
JAVA学科,如果方法无返回值，然后里面还用到return;说明什么,说明程序不在执行. 不需要任何返回直接写return;就可以或者.不写这个return;二者都行
JAVA学科,"break,和continue是只能跳出循环吧",是的 用于跳出循环
Python学科,"for 循环 语法格式
for 循环中的变量
for循环的自定义变量","python 中的 语法格式：
for item in container：pass
其中container 就是我们要遍历的数据结构：例如列表，元组等
item 每次循环返回一个元素值， 这个变量是我们自己定义的，名字你可以随便起名的，推荐见名知意的方式取名字 例如： 我要遍历一个班级的学生 可以这样： for student in students： pass  student 可以明确的让看到代码的人知道 我遍历得到的元素是一个学生对象。更利于代码维护。"
Python学科,"虚拟机创建快照
vmvare如何创建虚拟机快照
是不是一定要再虚拟机关闭状态才能拍摄快照？",vmware创建快照教程（注意要创建快照，你的虚拟机是关机状态才可以）： https://jingyan.baidu.com/article/48a420578e7f05e9242504ae.html
JAVA学科,黑马面面 企业模块添加数据或修改出现乱码,"出现乱码. 说明请求的传递到后台的已经出现乱码. 1.使用request.setCharacterEncoding(""UTF-8"");解决乱码. 2.可以使用过滤器统一解决乱码问题"
JAVA学科,SpringBoot中如何把一个自定义类的对象添加到Ioc中,"编写一个自定义类,只需要在类上加上@Component即可声明到Spring的ioc容器中"
Python学科,"python中__main__理解
__name__==__main__
__main__这个主模块代码，一般写到主模块的哪里？",__main__ 是顶层代码执行环境的名字.当一个模块从标准输入，脚本或者解释器提示行中被读取时，模块的__name__属性被设置成__main__。 也就是当我们是用python  xxxx.py 的方式运行一个py程序的时候，这个程序__name__ 就是 __main__ 。 他有2种用途1. 可以编写模块的测试代码，因为当我们导包的时候这些代码并不执行，只有把这个模块作为主程序运行才会运行，所以我们可以作为模块测试代码 。 2. 作为成序的入口程序。
Python学科,"chrome 插件如何下载？
不能翻墙 插件下载不了
xpath插件哪里下载
我需要老师帮忙安装xpath",同学chrome插件需要翻墙才能下载，如果你的可以翻墙 直接下载安装即可，如果不可以同学可以去这个地址搜索下载然后离线安装即可： https://pictureknow.com/extensions
JAVA学科,html与jsp文件的区别,"html是静态语言,可以直接在浏览器打开. 而jsp是动态语言需要部署到tomcat上才可以.本身jsp就是一个sevlet"
JAVA学科,idea创建maven项目没有src文件夹问题,具体操作可以参考:https://blog.csdn.net/lk142500/article/details/88782116/
JAVA学科,SecureCRT的sftp怎么操作,具体可以参考:https://www.cnblogs.com/wq-9/p/13259622.html
JAVA学科,Map集合中如何根据value删除键值对,"首先循环遍历整个Map , 然后比对value值是否和要删除得value值是否一样, 如果一样取出key,将其value删除"
JAVA学科,idea中 maven启动控制台中文出现乱码,请查看以下链接: https://www.cnblogs.com/grimm/p/12069026.html
JAVA学科,sout回车 为什么不会自动生成输出语句？,在方法里面去写才可以
Python学科,"css 样式修改了，前端不生效？
html代码修改了，页面不生效？
修改了css，但是前台展示没有变化","出现css样式修改了不生效可以按照以下步骤进行排查：
1. 清理前端缓存，重新加载检查是否生效，有时候是缓存问题导致的css样式没加载
2. 以上方式以及不生效，那么在浏览器右键检查前端css样式是否加载了，如果没有加载，说明我们后端写的代码依旧有问题样式没有正常加载，重新加载样式是否写的有错误
3. 如果样式加载了，但是这个样式以及不能正常显示，那么很可能是样式覆盖导致的我们自己写的样式没有正常剩下，需要排查那个样式影响了我们写的样式"
